PORT CODE,DATE,IEC,HS CODE,GOODS DESCRIPTION,Master category,Model Name,Model Number,Capacity,Qty,Unit of measure,Price,Unit of measure.1,QUANTITY,UNIT,UNIT PRICE_INR,TOTAL VALUE_INR,UNIT PRICE_USD,TOTAL VALUE_USD,DUTY PAID_INR,YEAR,MONTH,QUARTER,UNIT_STD,UNIT_PRICE_USD,EMBEDDED_QTY,CAPACITY_SPEC,MODEL_NUMBER2,GRAND_TOTAL_INR,LANDED_COST_PER_UNIT,CATEGORY,SUB_CATEGORY
INNSA1,2025-10-28,301049751,73239990,TH5170 STEEL CUTLERY HOLDER (QTY:600 PCS/USD 2.03 PER PCS) TH5170 STEEL CUTLERY HOLDER (QTY:600 PCS/USD 2.03 PER PCS),,,,,,,,,290.0,KGS,401.7253103,116500.34,4.529033938,1313.419842,32736.6,2025,10,4,KGS,2.03,600.0,,TH5170,149236.94,514.6101379310345,Steel,Steel Items
INNSA1,2025-10-28,301049751,73231000,8001-2 STEEL SCRUBBER 2PCS SET (QTY: 336000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2PCS SET (QTY: 336000 SETS/USD 0.139 P,,,,,,,,,9800.0,KGS,440.6022184,4317901.74,4.967330534,48679.83923,1898149.5,2025,10,4,KGS,0.139,336000.0,,8001-2,6216051.24,634.2909428571429,Steel,Scrubber
INNSA1,2025-10-23,301049751,73239990,"MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1,232 PCS/CNY:101 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1,2",,,,,,,,,4004.0,KGS,408.893663836164,1637210.23,4.609849648660246,18457.83799323563,460056.0,2025,10,4,KGS,,1.0,,MILD,2097266.23,523.7927647352648,Steel,Cloth Stand
INNSA1,2025-10-13,301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY 6336 PCS/USD 0.973 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY 6336 PCS/USD 0.973 PER PCS,,,,,,,,,1548.8,KGS,378.4578447830578,586155.51,4.219151000925951,6534.621070234112,164709.7,2025,10,4,KGS,0.973,6336.0,,SB-12,750865.21,484.80450025826445,Steel,Strainer
INNSA1,2025-10-13,301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY 43038 PCS/USD 0.9718 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY 43038 PCS/USD 0.9718 PER P,,,,,,,,,10042.2,KGS,399.7396745733008,4014265.76,4.456406628464889,44752.12664437012,1128008.7,2025,10,4,KGS,0.9718,43038.0,,SB-12,5142274.46,512.0665252633885,Steel,Strainer
INNSA1,2025-10-08,301049751,73239990,STEEL HANGER WITH HOOK (SL-89) (QTY:70056 PCS/CNY:7.45 PER PCS)STEEL HANGER WITH HOOK (SL-89) (QTY:70056 PCS/:7.45,,,,,,,,,15568.0,KGS,432.1581763874615,6727838.49,4.817816905099905,75003.77357859531,1890522.7,2025,10,4,KGS,,70056.0,,STEEL,8618361.19,553.5946293679342,Steel,Hanger
INNSA1,2025-10-06,301049751,73239990,STEEL HANGER 10PCS SET (AM-969) (QTY: 480 SET/USD 0.819 PERSET)STEEL HANGER 10PCS SET (AM-969) (QTY: 480 SET/USD 0.819 PER,,,,,,,,,380.0,KGS,100.4420789473684,38167.99,1.119755618142346,425.5071348940913,10725.3,2025,10,4,KGS,0.819,480.0,,STEEL,48893.28999999999,128.66655263157892,Steel,Hanger
INNSA1,2025-10-01,301049751,73239990,AM-967 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.031 PER PCS) AM-967 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.031 PER PCS),,,,,,,,,460.0,KGS,85.37782608695653,39273.8,0.9609209463923076,442.0236353404615,11036.0,2025,10,4,KGS,1.031,400.0,,AM-967,50309.8,109.36913043478262,Steel,Basket
INNSA1,2025-10-01,301049751,73239990,AM-966 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.017 PER PCS) AM-966 STEEL FRUIT BASKET (QTY 400 PCS/USD 1.017 PER PCS),,,,,,,,,310.0,KGS,124.9693225806452,38740.49,1.406520231633598,436.0212718064153,10886.1,2025,10,4,KGS,1.017,400.0,,AM-966,49626.59,160.0857741935484,Steel,Basket
INNSA1,2025-10-01,301049751,73239990,AM-965 STEEL SPOON & FORK HOLDER (QTY 480 PCS/USD 0.734 PERPCS)AM-965 STEEL SPOON & FORK HOLDER (QTY 480 PCS/USD 0.734 PER,,,,,,,,,168.0,KGS,199.7157142857143,33552.24,2.24778519173567,377.6279122115926,9428.1,2025,10,4,KGS,0.734,480.0,,AM-965,42980.34,255.83535714285713,Steel,Steel Items
INNSA1,2025-10-01,301049751,73231000,8001-2 STEEL SCRUBBER 2 PCS SET (QTY 336000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2 PCS SET (QTY 336000 SETS/USD 0.139 P,,,,,,,,,9800.0,KGS,456.1253897959184,4470028.82,5.133656609970945,50309.83477771527,1965024.7,2025,10,4,KGS,0.139,336000.0,,8001-2,6435053.5200000005,656.6381142857143,Steel,Scrubber
INNSA1,2025-09-27,301049751,73231000,OKS-4156 STEEL SCRUBBER 6PCS SET (QTY: 93360 PCS /USD 0.228PER PCS)OKS-4156 STEEL SCRUBBER 6PCS SET (QTY: 93360 PCS /USD 0.228,,,,,,,,,7496.03,KGS,263.5713784496593,1975738.96,2.966475840738991,22236.7918964547,868534.9,2025,9,3,KGS,0.228,93360.0,,OKS-4156,2844273.86,379.4373635110852,Steel,Scrubber
INNSA1,2025-09-27,301049751,73231000,8001-2 STEEL SCRUBBER 2PCS SET (QTY: 168000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2PCS SET (QTY: 168000 SETS/USD 0.139 P,,,,,,,,,4900.0,KGS,442.0729367346939,2166157.39,4.975497318342081,24379.9368598762,952242.8,2025,9,3,KGS,0.139,168000.0,,8001-2,3118400.1900000004,636.4082020408164,Steel,Scrubber
INNSA1,2025-09-24,301049751,73239990,AM-321 STEEL DRAINER (QTY:28752 PCS/USD 0.7050 PER PCS) AM-321 STEEL DRAINER (QTY:28752 PCS/USD 0.7050 PER PCS),,,,,,,,,3953.4,KGS,492.7319699499166,1947966.57,5.545660888575313,21924.21575689364,547378.6,2025,9,3,KGS,0.705,28752.0,,AM-321,2495345.17,631.1896519451611,Steel,Steel Items
INNSA1,2025-09-24,301049751,73239990,HOUSEHOLD STEEL HOOK 3PCS SET (2628) (QTY: 166608 SET/USD 0.36 PER SET)HOUSEHOLD STEEL HOOK 3PCS SET (2628) (QTY: 166608 SET/USD 0.,,,,,,,,,5646.16,KGS,971.5058004023973,5485277.19,10.93422397751714,61736.37805289815,1541362.8,2025,9,3,KGS,0.36,166608.0,,HOUSEHOLD,7026639.99,1244.4989143063606,Steel,Steel Items
INNSA1,2025-09-24,301049751,73239990,NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.2710 PER PCS) NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.2710 PER PCS),,,,,,,,,2310.0,KGS,568.2142554112553,1312574.93,6.395208276997812,14772.93111986494,368833.6,2025,9,3,KGS,0.271,50400.0,,NP-55,1681408.5299999998,727.8824805194804,Steel,Strainer
INNSA1,2025-09-24,301049751,73239990,"HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:55,296 SET/USD:0.24 PER SET)HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:55,296 SET/USD:0.2",,,,,,,,,1843.2,KGS,689.9043023003472,1271631.61,7.764820509851968,14312.11716375915,357328.4,2025,9,3,KGS,,55.0,,HOUSEHOLD,1628960.0100000002,883.7673665364584,Steel,Steel Items
INNSA1,2025-09-24,301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY:1026 PCS/USD 0.9770 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY:1026 PCS/USD 0.9770 PER PC,,,,,,,,,250.8,KGS,384.0942583732057,96330.84,4.322951698066468,1084.19628587507,27069.0,2025,9,3,KGS,0.977,1026.0,,SB-12,123399.84,492.0248803827751,Steel,Strainer
INNSA1,2025-09-24,301049751,73239990,HOUSEHOLD STEEL HOOK 3 PCS SET (2628) (QTY:432 SET/USD:0.360PER SET)HOUSEHOLD STEEL HOOK 3 PCS SET (2628) (QTY:432 SET/USD:0.360,,,,,,,,,14.64,KGS,987.6775956284152,14459.6,11.11623630420276,162.7416994935284,4063.1,2025,9,3,KGS,,432.0,,HOUSEHOLD,18522.7,1265.2117486338798,Steel,Steel Items
INNSA1,2025-09-23,301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1232 PCS/CNY 101 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 123,,,,,,,,,4004.0,KGS,434.3341333666334,1739073.87,4.888397674357157,19573.14428812606,488679.8,2025,9,3,KGS,,1232.0,,MILD,2227753.67,556.3820354645354,Steel,Cloth Stand
INNSA1,2025-09-23,301049751,73239990,H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS) H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS),,,,,,,,,9776.0,KGS,347.6034666530278,3398171.49,3.912250609488215,38246.16195835679,954886.2,2025,9,3,KGS,1.46,24960.0,,H2740,4353057.69,445.28004193944355,Steel,Steel Items
INNSA1,2025-09-23,301049751,73239990,H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS)H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS,,,,,,,,,9776.0,KGS,347.6034185761047,3398171.02,3.912250068386097,38246.15666854248,954886.0,2025,9,3,KGS,1.46,24960.0,,H2740,4353057.02,445.27997340425526,Steel,Steel Items
INNSA1,2025-09-20,301049751,73239990,HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:153600 SET/USD:0.24 PER SET)HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:153600 SET/USD:0.2,,,,,,,,,5120.0,KGS,660.84275390625,3383514.9,7.437734990503658,38081.20315137873,1239719.9,2025,9,3,KGS,,153600.0,,HOUSEHOLD,4623234.8,902.975546875,Steel,Steel Items
INNSA1,2025-09-10,301049751,73239990,"MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY:1,232 PCS/CNY:101.00 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY:1,23",,,,,,,,,4004.0,KGS,427.8509965034965,1713115.39,4.807314567455016,19248.48752808988,627685.5,2025,9,3,KGS,,1.0,,MILD,2340800.8899999997,584.6156068931068,Steel,Cloth Stand
INNSA1,2025-09-09,301049751,73239990,STEEL BASKET BIG (SY-845-4) (QTY:800 PCS/USD:0.9710 PER PCS) STEEL BASKET BIG (SY-845-4) (QTY:800 PCS/USD:0.9710 PER PCS),,,,,,,,,150.0,KGS,499.2998,74894.97,5.610110112359552,841.5165168539327,27441.5,2025,9,3,KGS,,800.0,,STEEL,102336.47,682.2431333333334,Steel,Basket
